,n,id,mac,strength,ssid,zone,floor,datetime
89,90.0,132.0,90:e6:ba:d3:5b:8c,-85.0,401-au,11.0,9.0,Mon Apr 05 14:29:44 GMT+03:00 2021
280,281.0,323.0,6c:19:8f:f6:55:11,-74.0,704_1,11.0,8.0,Mon Apr 05 14:33:24 GMT+03:00 2021
309,310.0,352.0,6c:19:8f:f6:55:11,-74.0,704_1,11.0,8.0,Mon Apr 05 14:33:39 GMT+03:00 2021
348,349.0,391.0,6c:19:8f:f6:55:11,-80.0,704_1,11.0,8.0,Mon Apr 05 14:34:01 GMT+03:00 2021
368,369.0,411.0,6c:19:8f:f6:55:11,-70.0,704_1,11.0,7.0,Mon Apr 05 14:34:37 GMT+03:00 2021
391,392.0,434.0,6c:19:8f:f6:55:11,-60.0,704_1,11.0,7.0,Mon Apr 05 14:34:48 GMT+03:00 2021
431,432.0,474.0,6c:19:8f:f6:55:11,-76.0,704_1,11.0,7.0,Mon Apr 05 14:35:04 GMT+03:00 2021
443,444.0,486.0,6c:19:8f:f6:55:11,-77.0,704_1,11.0,6.0,Mon Apr 05 14:36:02 GMT+03:00 2021
465,466.0,508.0,6c:19:8f:f6:55:11,-77.0,704_1,11.0,6.0,Mon Apr 05 14:36:15 GMT+03:00 2021
448,449.0,491.0,38:6b:1c:10:0b:70,-87.0,BIO,11.0,6.0,Mon Apr 05 14:36:02 GMT+03:00 2021
473,474.0,516.0,38:6b:1c:10:0b:70,-87.0,BIO,11.0,6.0,Mon Apr 05 14:36:15 GMT+03:00 2021
354,355.0,397.0,52:ff:20:48:f2:c8,-84.0,CM10-700,11.0,8.0,Mon Apr 05 14:34:01 GMT+03:00 2021
370,371.0,413.0,52:ff:20:48:f2:c8,-71.0,CM10-700,11.0,7.0,Mon Apr 05 14:34:37 GMT+03:00 2021
406,407.0,449.0,52:ff:20:48:f2:c8,-78.0,CM10-700,11.0,7.0,Mon Apr 05 14:34:48 GMT+03:00 2021
432,433.0,475.0,52:ff:20:48:f2:c8,-79.0,CM10-700,11.0,7.0,Mon Apr 05 14:35:04 GMT+03:00 2021
372,373.0,415.0,50:ff:20:48:f2:c8,-71.0,CM10-700 5,11.0,7.0,Mon Apr 05 14:34:37 GMT+03:00 2021
410,411.0,453.0,50:ff:20:48:f2:c8,-83.0,CM10-700 5,11.0,7.0,Mon Apr 05 14:34:48 GMT+03:00 2021
436,437.0,479.0,50:ff:20:48:f2:c8,-88.0,CM10-700 5,11.0,7.0,Mon Apr 05 14:35:04 GMT+03:00 2021
350,351.0,393.0,52:ff:20:58:f2:c8,-82.0,CM10-700 GUEST,11.0,8.0,Mon Apr 05 14:34:01 GMT+03:00 2021
369,370.0,412.0,52:ff:20:58:f2:c8,-70.0,CM10-700 GUEST,11.0,7.0,Mon Apr 05 14:34:37 GMT+03:00 2021
371,372.0,414.0,52:ff:20:18:f2:c8,-71.0,CM10-700 GUEST,11.0,7.0,Mon Apr 05 14:34:37 GMT+03:00 2021
405,406.0,448.0,52:ff:20:58:f2:c8,-78.0,CM10-700 GUEST,11.0,7.0,Mon Apr 05 14:34:48 GMT+03:00 2021
408,409.0,451.0,52:ff:20:18:f2:c8,-80.0,CM10-700 GUEST,11.0,7.0,Mon Apr 05 14:34:48 GMT+03:00 2021
433,434.0,476.0,52:ff:20:58:f2:c8,-80.0,CM10-700 GUEST,11.0,7.0,Mon Apr 05 14:35:04 GMT+03:00 2021
437,438.0,480.0,52:ff:20:18:f2:c8,-89.0,CM10-700 GUEST,11.0,7.0,Mon Apr 05 14:35:04 GMT+03:00 2021
402,403.0,445.0,20:cf:30:ce:5d:43,-74.0,IU1-603,11.0,7.0,Mon Apr 05 14:34:48 GMT+03:00 2021
434,435.0,477.0,20:cf:30:ce:5d:43,-80.0,IU1-603,11.0,7.0,Mon Apr 05 14:35:04 GMT+03:00 2021
442,443.0,485.0,20:cf:30:ce:5d:43,-75.0,IU1-603,11.0,6.0,Mon Apr 05 14:36:02 GMT+03:00 2021
460,461.0,503.0,20:cf:30:ce:5d:43,-67.0,IU1-603,11.0,6.0,Mon Apr 05 14:36:15 GMT+03:00 2021
483,484.0,526.0,20:cf:30:ce:5d:43,-77.0,IU1-603,11.0,6.0,Mon Apr 05 14:36:33 GMT+03:00 2021
243,244.0,286.0,38:2c:4a:a2:e3:e0,-73.0,Kafedra SM10,11.0,9.0,Mon Apr 05 14:33:02 GMT+03:00 2021
279,280.0,322.0,38:2c:4a:a2:e3:e0,-73.0,Kafedra SM10,11.0,8.0,Mon Apr 05 14:33:24 GMT+03:00 2021
303,304.0,346.0,38:2c:4a:a2:e3:e0,-68.0,Kafedra SM10,11.0,8.0,Mon Apr 05 14:33:39 GMT+03:00 2021
377,378.0,420.0,38:2c:4a:a2:e3:e0,-80.0,Kafedra SM10,11.0,7.0,Mon Apr 05 14:34:37 GMT+03:00 2021
399,400.0,442.0,38:2c:4a:a2:e3:e0,-72.0,Kafedra SM10,11.0,7.0,Mon Apr 05 14:34:48 GMT+03:00 2021
413,414.0,456.0,38:2c:4a:a2:e3:e0,-57.0,Kafedra SM10,11.0,7.0,Mon Apr 05 14:35:04 GMT+03:00 2021
484,485.0,527.0,38:2c:4a:a2:e3:e0,-80.0,Kafedra SM10,11.0,6.0,Mon Apr 05 14:36:33 GMT+03:00 2021
256,257.0,299.0,38:2c:4a:a2:e3:e1,-88.0,Kafedra SM10 5,11.0,9.0,Mon Apr 05 14:33:02 GMT+03:00 2021
290,291.0,333.0,38:2c:4a:a2:e3:e1,-88.0,Kafedra SM10 5,11.0,8.0,Mon Apr 05 14:33:24 GMT+03:00 2021
322,323.0,365.0,38:2c:4a:a2:e3:e1,-84.0,Kafedra SM10 5,11.0,8.0,Mon Apr 05 14:33:39 GMT+03:00 2021
385,386.0,428.0,38:2c:4a:a2:e3:e1,-88.0,Kafedra SM10 5,11.0,7.0,Mon Apr 05 14:34:37 GMT+03:00 2021
412,413.0,455.0,38:2c:4a:a2:e3:e1,-84.0,Kafedra SM10 5,11.0,7.0,Mon Apr 05 14:34:48 GMT+03:00 2021
414,415.0,457.0,38:2c:4a:a2:e3:e1,-63.0,Kafedra SM10 5,11.0,7.0,Mon Apr 05 14:35:04 GMT+03:00 2021
490,491.0,533.0,38:2c:4a:a2:e3:e1,-88.0,Kafedra SM10 5,11.0,6.0,Mon Apr 05 14:36:33 GMT+03:00 2021
3,4.0,46.0,e0:3f:49:8c:ac:00,-60.0,RT-N14U-903,11.0,9.0,Mon Apr 05 14:11:14 GMT+03:00 2021
29,30.0,72.0,e0:3f:49:8c:ac:00,-59.0,RT-N14U-903,11.0,9.0,Mon Apr 05 14:29:15 GMT+03:00 2021
61,62.0,104.0,e0:3f:49:8c:ac:00,-75.0,RT-N14U-903,11.0,9.0,Mon Apr 05 14:29:31 GMT+03:00 2021
83,84.0,126.0,e0:3f:49:8c:ac:00,-75.0,RT-N14U-903,11.0,9.0,Mon Apr 05 14:29:44 GMT+03:00 2021
147,148.0,190.0,e0:3f:49:8c:ac:00,-81.0,RT-N14U-903,11.0,10.0,Mon Apr 05 14:30:53 GMT+03:00 2021
193,194.0,236.0,e0:3f:49:8c:ac:00,-82.0,RT-N14U-903,11.0,9.0,Mon Apr 05 14:32:34 GMT+03:00 2021
346,347.0,389.0,e0:3f:49:8c:ac:00,-78.0,RT-N14U-903,11.0,8.0,Mon Apr 05 14:34:01 GMT+03:00 2021
1,2.0,44.0,50:17:ff:de:19:49,-51.0,bmstu_guest,11.0,9.0,Mon Apr 05 14:11:14 GMT+03:00 2021
5,6.0,48.0,00:26:52:d8:6e:79,-61.0,bmstu_guest,11.0,9.0,Mon Apr 05 14:11:14 GMT+03:00 2021
10,11.0,53.0,50:17:ff:de:19:46,-65.0,bmstu_guest,11.0,9.0,Mon Apr 05 14:11:14 GMT+03:00 2021
26,27.0,69.0,50:17:ff:de:19:49,-55.0,bmstu_guest,11.0,9.0,Mon Apr 05 14:29:15 GMT+03:00 2021
30,31.0,73.0,50:17:ff:de:19:46,-60.0,bmstu_guest,11.0,9.0,Mon Apr 05 14:29:15 GMT+03:00 2021
35,36.0,78.0,00:26:52:d8:6e:79,-73.0,bmstu_guest,11.0,9.0,Mon Apr 05 14:29:15 GMT+03:00 2021
46,47.0,89.0,00:26:52:d8:6e:76,-88.0,bmstu_guest,11.0,9.0,Mon Apr 05 14:29:15 GMT+03:00 2021
