,mac,zone,floor,strength,ssid
1118,00:03:7f:fe:00:00,15,4,-61,mba-411u
2781,00:0e:38:0d:06:d7,5,2,-77,bmstu_staff
1892,00:0e:38:0d:0e:1e,11,3,-79,
3823,00:14:78:53:26:be,14,4,-65,
3957,00:18:e7:fc:87:1a,9,5,-80,CAFSTATION
3457,00:1c:f0:13:52:6c,11,0,-84,
298,00:22:55:57:51:80,14,2,-46,bmstu_staff
3182,00:26:51:af:8b:30,3,2,-70,bmstu_lb
3184,00:26:51:af:8b:31,3,2,-71,bmstu_staff
3185,00:26:51:af:8b:39,3,2,-72,bmstu_guest
127,00:26:52:d8:6e:70,11,10,-53,bmstu_lb
129,00:26:52:d8:6e:71,11,10,-55,bmstu_staff
135,00:26:52:d8:6e:76,11,10,-62,bmstu_guest
97,00:26:52:d8:6e:79,11,10,-53,bmstu_guest
137,00:26:52:d8:6e:7e,11,10,-63,bmstu_staff
136,00:26:52:d8:6e:7f,11,10,-63,bmstu_lb
4312,00:26:52:d8:74:90,11,5,-62,bmstu_lb
4310,00:26:52:d8:74:91,11,5,-60,bmstu_staff
522,00:26:52:d8:74:96,11,5,-81,bmstu_guest
4311,00:26:52:d8:74:99,11,5,-62,bmstu_guest
4349,00:26:52:d8:74:9e,11,5,-82,bmstu_staff
525,00:26:52:d8:74:9f,11,5,-82,bmstu_lb
778,00:26:52:d8:75:90,6,2,-71,bmstu_lb
2526,00:26:52:d8:75:91,6,2,-74,bmstu_staff
2800,00:26:52:d8:75:99,5,2,-75,bmstu_guest
870,00:26:52:d8:7b:d0,14,4,-45,bmstu_lb
872,00:26:52:d8:7b:d1,14,4,-46,bmstu_staff
3867,00:26:52:d8:7b:d6,14,4,-81,bmstu_guest
871,00:26:52:d8:7b:d9,14,4,-46,bmstu_guest
3866,00:26:52:d8:7b:de,14,4,-80,bmstu_staff
3868,00:26:52:d8:7b:df,14,4,-82,bmstu_lb
1665,00:26:52:d8:7e:b0,10,3,-49,bmstu_lb
1666,00:26:52:d8:7e:b1,10,3,-49,bmstu_staff
2071,00:26:52:d8:7e:b6,10,3,-81,bmstu_guest
1667,00:26:52:d8:7e:b9,10,3,-49,bmstu_guest
1976,00:26:52:d8:7e:be,10,3,-82,bmstu_staff
1978,00:26:52:d8:7e:bf,10,3,-83,bmstu_lb
456,00:26:52:d8:7e:e0,11,6,-57,bmstu_lb
457,00:26:52:d8:7e:e1,11,6,-60,bmstu_staff
469,00:26:52:d8:7e:e6,11,6,-85,bmstu_guest
455,00:26:52:d8:7e:e9,11,6,-55,bmstu_guest
471,00:26:52:d8:7e:ee,11,6,-86,bmstu_staff
472,00:26:52:d8:7e:ef,11,6,-86,bmstu_lb
3253,00:26:52:d8:7f:50,15,4,-69,bmstu_lb
3257,00:26:52:d8:7f:51,15,4,-71,bmstu_staff
3255,00:26:52:d8:7f:59,15,4,-69,bmstu_guest
4315,00:26:52:d8:7f:b0,11,5,-67,bmstu_lb
4277,00:26:52:d8:7f:b1,11,5,-69,bmstu_staff
4278,00:26:52:d8:7f:b9,11,5,-70,bmstu_guest
160,00:26:52:d8:80:60,11,10,-68,bmstu_lb
175,00:26:52:d8:80:61,11,10,-83,bmstu_staff
139,00:26:52:d8:80:69,11,10,-67,bmstu_guest
1256,00:26:52:d8:80:80,2,4,-68,bmstu_lb
1255,00:26:52:d8:80:81,2,4,-67,bmstu_staff
1269,00:26:52:d8:80:86,2,4,-83,bmstu_guest
1254,00:26:52:d8:80:89,2,4,-67,bmstu_guest
1266,00:26:52:d8:80:8e,2,4,-81,bmstu_staff
1267,00:26:52:d8:80:8f,2,4,-82,bmstu_lb
2717,00:26:52:d8:80:b0,8,2,-86,bmstu_lb
2730,00:26:52:d8:80:b1,7,2,-86,bmstu_staff
2713,00:26:52:d8:80:b9,8,2,-78,bmstu_guest
2895,00:26:52:d8:81:59,13,4,-93,bmstu_guest
1343,00:26:52:d8:81:c0,15,4,-70,bmstu_lb
1157,00:26:52:d8:81:c1,13,4,-75,bmstu_staff
1150,00:26:52:d8:81:c9,13,4,-71,bmstu_guest
3147,00:26:52:d8:82:10,0,2,-50,bmstu_lb
3146,00:26:52:d8:82:11,0,2,-49,bmstu_staff
3197,00:26:52:d8:82:16,3,2,-86,bmstu_guest
3148,00:26:52:d8:82:19,0,2,-52,bmstu_guest
3199,00:26:52:d8:82:1e,3,2,-88,bmstu_staff
3200,00:26:52:d8:82:1f,3,2,-88,bmstu_lb
3561,00:26:52:d8:82:20,11,4,-58,bmstu_lb
701,00:26:52:d8:82:21,11,4,-57,bmstu_staff
3582,00:26:52:d8:82:26,11,4,-83,bmstu_guest
700,00:26:52:d8:82:29,11,4,-56,bmstu_guest
3609,00:26:52:d8:82:2e,11,4,-84,bmstu_staff
3606,00:26:52:d8:82:2f,11,4,-83,bmstu_lb
234,00:26:52:d8:83:b6,11,9,-83,bmstu_guest
233,00:26:52:d8:83:be,11,9,-83,bmstu_staff
232,00:26:52:d8:83:bf,11,9,-83,bmstu_lb
3700,00:26:52:d8:83:f0,10,4,-83,bmstu_lb
3698,00:26:52:d8:83:f1,10,4,-82,bmstu_staff
1208,00:26:52:d8:83:f9,2,2,-82,bmstu_guest
4085,00:26:52:d8:84:70,14,5,-59,bmstu_lb
4086,00:26:52:d8:84:71,14,5,-59,bmstu_staff
619,00:26:52:d8:84:79,9,5,-56,bmstu_guest
482,00:26:52:d8:84:90,11,2,-55,bmstu_lb
2418,00:26:52:d8:84:91,11,2,-60,bmstu_staff
481,00:26:52:d8:84:99,11,2,-55,bmstu_guest
2804,00:26:52:d8:85:a0,5,2,-67,bmstu_lb
848,00:26:52:d8:85:a1,5,2,-69,bmstu_staff
846,00:26:52:d8:85:a9,5,2,-69,bmstu_guest
2319,00:26:52:d8:85:c0,12,3,-74,bmstu_lb
1861,00:26:52:d8:85:c1,11,3,-74,bmstu_staff
2316,00:26:52:d8:85:c9,12,3,-73,bmstu_guest
4199,00:26:52:d8:86:30,10,5,-51,bmstu_lb
4198,00:26:52:d8:86:31,10,5,-51,bmstu_staff
4205,00:26:52:d8:86:36,10,5,-86,bmstu_guest
4200,00:26:52:d8:86:39,10,5,-53,bmstu_guest
