,mac,zone,floor,strength,ssid
1118,00:03:7f:fe:00:00,15.0,4.0,-61.0,mba-411u
2781,00:0e:38:0d:06:d7,5.0,2.0,-77.0,bmstu_staff
1892,00:0e:38:0d:0e:1e,11.0,3.0,-79.0,
3823,00:14:78:53:26:be,14.0,4.0,-65.0,
3957,00:18:e7:fc:87:1a,9.0,5.0,-80.0,CAFSTATION
3457,00:1c:f0:13:52:6c,11.0,0.0,-84.0,
298,00:22:55:57:51:80,14.0,2.0,-46.0,bmstu_staff
3182,00:26:51:af:8b:30,3.0,2.0,-70.0,bmstu_lb
3184,00:26:51:af:8b:31,3.0,2.0,-71.0,bmstu_staff
3185,00:26:51:af:8b:39,3.0,2.0,-72.0,bmstu_guest
127,00:26:52:d8:6e:70,11.0,10.0,-53.0,bmstu_lb
129,00:26:52:d8:6e:71,11.0,10.0,-55.0,bmstu_staff
135,00:26:52:d8:6e:76,11.0,10.0,-62.0,bmstu_guest
97,00:26:52:d8:6e:79,11.0,10.0,-53.0,bmstu_guest
137,00:26:52:d8:6e:7e,11.0,10.0,-63.0,bmstu_staff
136,00:26:52:d8:6e:7f,11.0,10.0,-63.0,bmstu_lb
4312,00:26:52:d8:74:90,11.0,5.0,-62.0,bmstu_lb
4310,00:26:52:d8:74:91,11.0,5.0,-60.0,bmstu_staff
522,00:26:52:d8:74:96,11.0,5.0,-81.0,bmstu_guest
4311,00:26:52:d8:74:99,11.0,5.0,-62.0,bmstu_guest
4349,00:26:52:d8:74:9e,11.0,5.0,-82.0,bmstu_staff
525,00:26:52:d8:74:9f,11.0,5.0,-82.0,bmstu_lb
778,00:26:52:d8:75:90,6.0,2.0,-71.0,bmstu_lb
2526,00:26:52:d8:75:91,6.0,2.0,-74.0,bmstu_staff
2800,00:26:52:d8:75:99,5.0,2.0,-75.0,bmstu_guest
870,00:26:52:d8:7b:d0,14.0,4.0,-45.0,bmstu_lb
872,00:26:52:d8:7b:d1,14.0,4.0,-46.0,bmstu_staff
3867,00:26:52:d8:7b:d6,14.0,4.0,-81.0,bmstu_guest
871,00:26:52:d8:7b:d9,14.0,4.0,-46.0,bmstu_guest
3866,00:26:52:d8:7b:de,14.0,4.0,-80.0,bmstu_staff
3868,00:26:52:d8:7b:df,14.0,4.0,-82.0,bmstu_lb
1665,00:26:52:d8:7e:b0,10.0,3.0,-49.0,bmstu_lb
1666,00:26:52:d8:7e:b1,10.0,3.0,-49.0,bmstu_staff
2071,00:26:52:d8:7e:b6,10.0,3.0,-81.0,bmstu_guest
1667,00:26:52:d8:7e:b9,10.0,3.0,-49.0,bmstu_guest
1976,00:26:52:d8:7e:be,10.0,3.0,-82.0,bmstu_staff
1978,00:26:52:d8:7e:bf,10.0,3.0,-83.0,bmstu_lb
456,00:26:52:d8:7e:e0,11.0,6.0,-57.0,bmstu_lb
457,00:26:52:d8:7e:e1,11.0,6.0,-60.0,bmstu_staff
469,00:26:52:d8:7e:e6,11.0,6.0,-85.0,bmstu_guest
455,00:26:52:d8:7e:e9,11.0,6.0,-55.0,bmstu_guest
471,00:26:52:d8:7e:ee,11.0,6.0,-86.0,bmstu_staff
472,00:26:52:d8:7e:ef,11.0,6.0,-86.0,bmstu_lb
3253,00:26:52:d8:7f:50,15.0,4.0,-69.0,bmstu_lb
3257,00:26:52:d8:7f:51,15.0,4.0,-71.0,bmstu_staff
3255,00:26:52:d8:7f:59,15.0,4.0,-69.0,bmstu_guest
4315,00:26:52:d8:7f:b0,11.0,5.0,-67.0,bmstu_lb
4277,00:26:52:d8:7f:b1,11.0,5.0,-69.0,bmstu_staff
4278,00:26:52:d8:7f:b9,11.0,5.0,-70.0,bmstu_guest
160,00:26:52:d8:80:60,11.0,10.0,-68.0,bmstu_lb
175,00:26:52:d8:80:61,11.0,10.0,-83.0,bmstu_staff
139,00:26:52:d8:80:69,11.0,10.0,-67.0,bmstu_guest
1256,00:26:52:d8:80:80,2.0,4.0,-68.0,bmstu_lb
1255,00:26:52:d8:80:81,2.0,4.0,-67.0,bmstu_staff
1269,00:26:52:d8:80:86,2.0,4.0,-83.0,bmstu_guest
1254,00:26:52:d8:80:89,2.0,4.0,-67.0,bmstu_guest
1266,00:26:52:d8:80:8e,2.0,4.0,-81.0,bmstu_staff
1267,00:26:52:d8:80:8f,2.0,4.0,-82.0,bmstu_lb
2717,00:26:52:d8:80:b0,8.0,2.0,-86.0,bmstu_lb
2730,00:26:52:d8:80:b1,7.0,2.0,-86.0,bmstu_staff
2713,00:26:52:d8:80:b9,8.0,2.0,-78.0,bmstu_guest
2895,00:26:52:d8:81:59,13.0,4.0,-93.0,bmstu_guest
1343,00:26:52:d8:81:c0,15.0,4.0,-70.0,bmstu_lb
1157,00:26:52:d8:81:c1,13.0,4.0,-75.0,bmstu_staff
1150,00:26:52:d8:81:c9,13.0,4.0,-71.0,bmstu_guest
3147,00:26:52:d8:82:10,0.0,2.0,-50.0,bmstu_lb
3146,00:26:52:d8:82:11,0.0,2.0,-49.0,bmstu_staff
3197,00:26:52:d8:82:16,3.0,2.0,-86.0,bmstu_guest
3148,00:26:52:d8:82:19,0.0,2.0,-52.0,bmstu_guest
3199,00:26:52:d8:82:1e,3.0,2.0,-88.0,bmstu_staff
3200,00:26:52:d8:82:1f,3.0,2.0,-88.0,bmstu_lb
3561,00:26:52:d8:82:20,11.0,4.0,-58.0,bmstu_lb
701,00:26:52:d8:82:21,11.0,4.0,-57.0,bmstu_staff
3582,00:26:52:d8:82:26,11.0,4.0,-83.0,bmstu_guest
700,00:26:52:d8:82:29,11.0,4.0,-56.0,bmstu_guest
3609,00:26:52:d8:82:2e,11.0,4.0,-84.0,bmstu_staff
3606,00:26:52:d8:82:2f,11.0,4.0,-83.0,bmstu_lb
234,00:26:52:d8:83:b6,11.0,9.0,-83.0,bmstu_guest
233,00:26:52:d8:83:be,11.0,9.0,-83.0,bmstu_staff
232,00:26:52:d8:83:bf,11.0,9.0,-83.0,bmstu_lb
3700,00:26:52:d8:83:f0,10.0,4.0,-83.0,bmstu_lb
3698,00:26:52:d8:83:f1,10.0,4.0,-82.0,bmstu_staff
1208,00:26:52:d8:83:f9,2.0,2.0,-82.0,bmstu_guest
4085,00:26:52:d8:84:70,14.0,5.0,-59.0,bmstu_lb
4086,00:26:52:d8:84:71,14.0,5.0,-59.0,bmstu_staff
619,00:26:52:d8:84:79,9.0,5.0,-56.0,bmstu_guest
482,00:26:52:d8:84:90,11.0,2.0,-55.0,bmstu_lb
2418,00:26:52:d8:84:91,11.0,2.0,-60.0,bmstu_staff
481,00:26:52:d8:84:99,11.0,2.0,-55.0,bmstu_guest
2804,00:26:52:d8:85:a0,5.0,2.0,-67.0,bmstu_lb
848,00:26:52:d8:85:a1,5.0,2.0,-69.0,bmstu_staff
846,00:26:52:d8:85:a9,5.0,2.0,-69.0,bmstu_guest
2319,00:26:52:d8:85:c0,12.0,3.0,-74.0,bmstu_lb
1861,00:26:52:d8:85:c1,11.0,3.0,-74.0,bmstu_staff
2316,00:26:52:d8:85:c9,12.0,3.0,-73.0,bmstu_guest
4199,00:26:52:d8:86:30,10.0,5.0,-51.0,bmstu_lb
4198,00:26:52:d8:86:31,10.0,5.0,-51.0,bmstu_staff
4205,00:26:52:d8:86:36,10.0,5.0,-86.0,bmstu_guest
4200,00:26:52:d8:86:39,10.0,5.0,-53.0,bmstu_guest
4218,00:26:52:d8:86:3e,10.0,5.0,-86.0,bmstu_staff
4219,00:26:52:d8:86:3f,10.0,5.0,-87.0,bmstu_lb
2384,00:26:52:d8:89:90,12.0,3.0,-49.0,bmstu_lb
2382,00:26:52:d8:89:91,12.0,3.0,-48.0,bmstu_staff
2383,00:26:52:d8:89:99,12.0,3.0,-48.0,bmstu_guest
178,00:26:5a:a5:56:8b,11.0,10.0,-88.0,rl1nio2
3592,00:3a:9a:a3:63:60,11.0,4.0,-72.0,bmstu_lb
3596,00:3a:9a:a3:63:61,11.0,4.0,-74.0,bmstu_staff
973,00:3a:9a:a3:63:69,11.0,4.0,-73.0,bmstu_guest
991,00:3a:9a:a3:63:6e,11.0,4.0,-93.0,bmstu_staff
990,00:3a:9a:a3:63:6f,11.0,4.0,-92.0,bmstu_lb
732,00:3a:9a:a3:68:20,11.0,4.0,-68.0,bmstu_lb
735,00:3a:9a:a3:68:21,11.0,4.0,-70.0,bmstu_staff
733,00:3a:9a:a3:68:29,11.0,4.0,-69.0,bmstu_guest
2678,00:3a:9a:a5:95:19,1.0,2.0,-89.0,bmstu_guest
2679,00:3a:9a:a5:97:a1,1.0,2.0,-91.0,bmstu_staff
3345,00:3a:9a:ad:91:40,12.0,4.0,-62.0,bmstu_lb
3348,00:3a:9a:ad:91:41,12.0,4.0,-66.0,bmstu_staff
3346,00:3a:9a:ad:91:49,12.0,4.0,-65.0,bmstu_guest
2692,00:90:4c:c1:00:00,1.0,2.0,-68.0,SAP-LAB
1480,00:a6:ca:5e:67:00,4.0,2.0,-82.0,
1441,00:a6:ca:5f:3f:00,4.0,2.0,-74.0,
4474,04:bf:6d:03:66:34,6.0,2.0,-78.0,Keenetic-2536
874,04:d4:c4:c2:1e:50,14.0,4.0,-61.0,
3861,04:d4:c4:c2:1e:54,14.0,4.0,-69.0,
1973,06:80:9b:b7:af:40,10.0,3.0,-66.0,
2705,0c:80:63:c6:51:22,8.0,2.0,-69.0,MT1-207
4397,0c:9d:92:5a:c3:00,11.0,5.0,-80.0,ASUS
4396,0c:9d:92:5a:c3:04,11.0,5.0,-76.0,ASUS_5G
2632,10:20:32:42:84:72,7.0,2.0,-81.0,mt2
3251,10:7b:44:79:b3:20,15.0,4.0,-63.0,IU3_Stud_WiFI
3271,10:7b:44:79:b3:24,15.0,4.0,-80.0,IU3_Stud_WiFI_5G
1434,14:91:82:28:40:d6,4.0,2.0,-61.0,
1444,14:91:82:28:40:d7,4.0,2.0,-77.0,
3181,14:dd:a9:f1:0a:68,3.0,2.0,-69.0,LaserLab
1386,16:18:d6:9d:28:26,3.0,2.0,-88.0,
1435,16:91:82:28:40:d8,4.0,2.0,-62.0,
1234,18:0f:76:8e:e9:59,13.0,4.0,-60.0,
1186,18:31:bf:c5:61:c4,13.0,4.0,-62.0,ASUS_5G
3179,1c:74:0d:8e:67:8c,15.0,4.0,-69.0,
3342,1c:74:0d:8e:67:90,11.0,1.0,-57.0,bmstu-89a
352,1c:af:f7:96:1b:1c,14.0,2.0,-76.0,KID-LAB
3993,1c:b9:c4:a9:d7:18,9.0,5.0,-87.0,Passpoint Wi-Fi
3992,1c:b9:c4:a9:d7:19,9.0,5.0,-86.0,Hotspot 2.0
439,1c:bd:b9:92:1d:7c,10.0,2.0,-88.0,rk5-net
1262,20:4e:7f:77:03:7a,13.0,5.0,-73.0,IU8-5G
460,20:cf:30:ce:5d:43,11.0,6.0,-67.0,IU1-603
3160,28:28:5d:64:cf:4a,0.0,2.0,-71.0,Keenetic-7571
2536,28:6c:07:50:9a:a5,6.0,3.0,-75.0,MT2
2540,28:6c:07:50:9a:a6,6.0,3.0,-84.0,MT2_5G
2328,28:d1:27:0e:1c:a1,12.0,3.0,-80.0,Studsovet
1843,28:d1:27:0e:1c:a2,12.0,3.0,-82.0,Studsovet_5G
3085,2c:4d:54:ba:21:e0,13.0,4.0,-71.0,ASUS_EBM7
2261,34:20:e3:17:5d:d8,10.0,2.0,-87.0,Passpoint Wi-Fi
1813,34:20:e3:17:8a:ac,12.0,3.0,-89.0,Passpoint Wi-Fi
2262,34:20:e3:97:5d:d8,10.0,2.0,-88.0,Hotspot 2.0
3359,34:20:e3:97:8a:a8,12.0,4.0,-84.0,Hotspot 2.0
1814,34:20:e3:97:8a:ac,12.0,3.0,-91.0,Hotspot 2.0
413,38:2c:4a:a2:e3:e0,11.0,7.0,-57.0,Kafedra SM10
414,38:2c:4a:a2:e3:e1,11.0,7.0,-63.0,Kafedra SM10 5
2116,38:6b:1c:05:be:68,10.0,3.0,-67.0,
2118,38:6b:1c:05:be:6a,10.0,3.0,-76.0,
4274,38:6b:1c:10:0b:70,11.0,5.0,-55.0,BIO
4275,38:6b:1c:10:0b:71,11.0,5.0,-62.0,BIO_5G
2153,38:6b:1c:18:75:f5,11.0,3.0,-73.0,GUK-BIO
925,38:6b:1c:1d:f7:f3,3.0,2.0,-82.0,
2126,3c:84:6a:ab:2b:4e,9.0,3.0,-52.0,363b
2689,48:5b:39:3c:10:00,1.0,2.0,-51.0,pd208
2729,48:5b:39:61:92:90,13.0,3.0,-59.0,Fiber Optics Lab
1091,48:5b:39:e8:78:93,15.0,4.0,-63.0,426_asp
604,4a:4b:a8:24:28:0d,14.0,5.0,-89.0,
1092,4c:ed:fb:a6:ba:80,15.0,4.0,-63.0,IU3_511u_WiFi
1062,4c:ed:fb:a6:ba:84,12.0,4.0,-76.0,IU3_511u_WiFi_5G
2093,50:17:ff:15:ff:20,2.0,3.0,-62.0,bmstu_lb
2108,50:17:ff:15:ff:21,9.0,3.0,-57.0,bmstu_staff
2116,50:17:ff:15:ff:26,9.0,3.0,-73.0,bmstu_guest
2107,50:17:ff:15:ff:29,9.0,3.0,-56.0,bmstu_guest
2115,50:17:ff:15:ff:2e,9.0,3.0,-73.0,bmstu_staff
2117,50:17:ff:15:ff:2f,9.0,3.0,-73.0,bmstu_lb
535,50:17:ff:de:06:80,11.0,5.0,-74.0,bmstu_lb
536,50:17:ff:de:06:81,11.0,5.0,-76.0,bmstu_staff
539,50:17:ff:de:06:86,11.0,5.0,-79.0,bmstu_guest
4341,50:17:ff:de:06:89,11.0,5.0,-75.0,bmstu_guest
4346,50:17:ff:de:06:8e,11.0,5.0,-80.0,bmstu_staff
4347,50:17:ff:de:06:8f,11.0,5.0,-80.0,bmstu_lb
1885,50:17:ff:de:06:d0,11.0,3.0,-75.0,bmstu_lb
1884,50:17:ff:de:06:d1,11.0,3.0,-75.0,bmstu_staff
3565,50:17:ff:de:06:d9,11.0,4.0,-72.0,bmstu_guest
3443,50:17:ff:de:06:e0,12.0,4.0,-65.0,bmstu_lb
3444,50:17:ff:de:06:e1,12.0,4.0,-65.0,bmstu_staff
3412,50:17:ff:de:06:e6,12.0,4.0,-77.0,bmstu_guest
1053,50:17:ff:de:06:e9,12.0,4.0,-66.0,bmstu_guest
3449,50:17:ff:de:06:ee,12.0,4.0,-76.0,bmstu_staff
3452,50:17:ff:de:06:ef,12.0,4.0,-77.0,bmstu_lb
1422,50:17:ff:de:08:20,15.0,4.0,-53.0,bmstu_lb
1421,50:17:ff:de:08:21,15.0,4.0,-52.0,bmstu_staff
1425,50:17:ff:de:08:26,15.0,4.0,-58.0,bmstu_guest
3250,50:17:ff:de:08:29,15.0,4.0,-59.0,bmstu_guest
1089,50:17:ff:de:08:2e,15.0,4.0,-56.0,bmstu_staff
1088,50:17:ff:de:08:2f,15.0,4.0,-56.0,bmstu_lb
2966,50:17:ff:de:08:60,13.0,4.0,-57.0,bmstu_lb
2967,50:17:ff:de:08:61,13.0,4.0,-58.0,bmstu_staff
2982,50:17:ff:de:08:66,13.0,4.0,-73.0,bmstu_guest
2968,50:17:ff:de:08:69,13.0,4.0,-62.0,bmstu_guest
2984,50:17:ff:de:08:6e,13.0,4.0,-75.0,bmstu_staff
2983,50:17:ff:de:08:6f,13.0,4.0,-75.0,bmstu_lb
24,50:17:ff:de:19:40,11.0,9.0,-55.0,bmstu_lb
0,50:17:ff:de:19:41,11.0,9.0,-51.0,bmstu_staff
49,50:17:ff:de:19:46,11.0,9.0,-55.0,bmstu_guest
1,50:17:ff:de:19:49,11.0,9.0,-51.0,bmstu_guest
27,50:17:ff:de:19:4e,11.0,9.0,-56.0,bmstu_staff
25,50:17:ff:de:19:4f,11.0,9.0,-55.0,bmstu_lb
1552,50:17:ff:de:1c:c0,4.0,2.0,-75.0,bmstu_lb
2890,50:17:ff:de:1c:c1,4.0,2.0,-78.0,bmstu_staff
1625,50:17:ff:de:1c:c6,10.0,3.0,-89.0,bmstu_guest
1551,50:17:ff:de:1c:c9,4.0,2.0,-75.0,bmstu_guest
1627,50:17:ff:de:1c:ce,10.0,3.0,-90.0,bmstu_staff
1624,50:17:ff:de:1c:cf,10.0,3.0,-89.0,bmstu_lb
2127,50:17:ff:df:3f:40,11.0,3.0,-61.0,bmstu_lb
2126,50:17:ff:df:3f:41,11.0,3.0,-61.0,bmstu_staff
2133,50:17:ff:df:3f:46,11.0,3.0,-77.0,bmstu_guest
2125,50:17:ff:df:3f:49,11.0,3.0,-60.0,bmstu_guest
2136,50:17:ff:df:3f:4e,11.0,3.0,-78.0,bmstu_staff
2132,50:17:ff:df:3f:4f,11.0,3.0,-77.0,bmstu_lb
1881,50:17:ff:df:55:50,11.0,3.0,-68.0,bmstu_lb
1883,50:17:ff:df:55:51,11.0,3.0,-69.0,bmstu_staff
1896,50:17:ff:df:55:56,11.0,3.0,-81.0,bmstu_guest
1882,50:17:ff:df:55:59,11.0,3.0,-68.0,bmstu_guest
1893,50:17:ff:df:55:5e,11.0,3.0,-79.0,bmstu_staff
1894,50:17:ff:df:55:5f,11.0,3.0,-80.0,bmstu_lb
389,50:17:ff:df:58:60,11.0,7.0,-58.0,bmstu_lb
388,50:17:ff:df:58:61,11.0,7.0,-57.0,bmstu_staff
386,50:17:ff:df:58:66,11.0,7.0,-51.0,bmstu_guest
387,50:17:ff:df:58:69,11.0,7.0,-56.0,bmstu_guest
393,50:17:ff:df:58:6e,11.0,7.0,-61.0,bmstu_staff
390,50:17:ff:df:58:6f,11.0,7.0,-60.0,bmstu_lb
514,50:17:ff:df:70:40,11.0,2.0,-53.0,bmstu_lb
515,50:17:ff:df:70:41,11.0,2.0,-54.0,bmstu_staff
516,50:17:ff:df:70:46,11.0,2.0,-55.0,bmstu_guest
513,50:17:ff:df:70:49,11.0,2.0,-49.0,bmstu_guest
517,50:17:ff:df:70:4e,11.0,2.0,-56.0,bmstu_staff
518,50:17:ff:df:70:4f,11.0,2.0,-57.0,bmstu_lb
1851,50:17:ff:df:81:10,11.0,3.0,-62.0,bmstu_lb
2310,50:17:ff:df:81:11,12.0,3.0,-64.0,bmstu_staff
2305,50:17:ff:df:81:16,12.0,3.0,-60.0,bmstu_guest
2307,50:17:ff:df:81:19,12.0,3.0,-63.0,bmstu_guest
2309,50:17:ff:df:81:1e,12.0,3.0,-64.0,bmstu_staff
2308,50:17:ff:df:81:1f,12.0,3.0,-63.0,bmstu_lb
3355,50:17:ff:df:89:50,11.0,1.0,-84.0,bmstu_lb
3358,50:17:ff:df:89:51,11.0,1.0,-88.0,bmstu_staff
1025,50:17:ff:df:89:90,3.0,2.0,-77.0,bmstu_lb
3246,50:17:ff:df:89:91,3.0,2.0,-76.0,bmstu_staff
3264,50:17:ff:df:89:96,3.0,2.0,-89.0,bmstu_guest
1027,50:17:ff:df:89:99,3.0,2.0,-79.0,bmstu_guest
3260,50:17:ff:df:89:9e,3.0,2.0,-87.0,bmstu_staff
3258,50:17:ff:df:89:9f,3.0,2.0,-86.0,bmstu_lb
1196,50:17:ff:df:89:a0,13.0,4.0,-68.0,bmstu_lb
3079,50:17:ff:df:89:a1,13.0,4.0,-62.0,bmstu_staff
3159,50:17:ff:df:89:a6,15.0,4.0,-78.0,bmstu_guest
3077,50:17:ff:df:89:a9,13.0,4.0,-59.0,bmstu_guest
1201,50:17:ff:df:89:ae,13.0,4.0,-75.0,bmstu_staff
1199,50:17:ff:df:89:af,13.0,4.0,-74.0,bmstu_lb
3880,50:c7:bf:50:2b:72,14.0,4.0,-71.0,
873,50:c7:bf:87:29:66,14.0,4.0,-60.0,
3879,50:c7:bf:87:29:6a,14.0,4.0,-68.0,
2821,50:c7:bf:ae:89:98,13.0,3.0,-70.0,
645,50:d4:f7:96:5d:02,9.0,5.0,-86.0,TP-Link_5D02
107,50:ff:20:1c:c0:1b,4.0,2.0,-71.0,e10-a3
133,50:ff:20:1c:c0:1d,4.0,2.0,-75.0,e10-a3
3213,50:ff:20:25:6b:bb,3.0,2.0,-57.0,
1050,50:ff:20:25:6b:bd,3.0,2.0,-79.0,
3019,50:ff:20:25:98:04,3.0,2.0,-71.0,
1079,50:ff:20:2f:b2:f0,3.0,2.0,-54.0,
2838,50:ff:20:39:ce:ed,4.0,2.0,-53.0,Keenetic-2054
786,50:ff:20:3a:a5:13,6.0,2.0,-82.0,SLSLab
3222,50:ff:20:44:c3:c9,3.0,2.0,-78.0,foodcort
372,50:ff:20:48:f2:c8,11.0,7.0,-71.0,CM10-700 5
371,52:ff:20:18:f2:c8,11.0,7.0,-71.0,CM10-700 GUEST
1051,52:ff:20:23:98:06,3.0,2.0,-81.0,
1356,52:ff:20:2b:b2:f2,3.0,2.0,-66.0,
2311,52:ff:20:43:d4:ae,12.0,3.0,-69.0,
2313,52:ff:20:43:d4:b0,12.0,3.0,-71.0,
1403,52:ff:20:44:c3:c9,3.0,2.0,-85.0,
1020,52:ff:20:45:98:04,3.0,2.0,-75.0,
370,52:ff:20:48:f2:c8,11.0,7.0,-71.0,CM10-700
2861,52:ff:20:49:ce:ed,4.0,2.0,-56.0,
783,52:ff:20:4a:a5:13,6.0,2.0,-81.0,
2883,52:ff:20:4c:c0:1b,4.0,2.0,-67.0,
1562,52:ff:20:4c:c0:1d,4.0,2.0,-80.0,
1078,52:ff:20:4f:b2:f0,3.0,2.0,-53.0,
3072,52:ff:20:50:12:af,2.0,2.0,-87.0,Keenetic-6655
990,52:ff:20:54:c3:c9,3.0,2.0,-64.0,foodcort
369,52:ff:20:58:f2:c8,11.0,7.0,-70.0,CM10-700 GUEST
3168,52:ff:20:90:12:af,0.0,2.0,-81.0,
3017,52:ff:20:94:c3:c9,3.0,2.0,-67.0,
300,54:78:1a:64:45:30,14.0,2.0,-71.0,BaumanPress
301,54:78:1a:64:45:31,14.0,2.0,-72.0,BP-Sec
1969,54:78:1a:64:49:30,9.0,3.0,-83.0,BaumanPress
1968,54:78:1a:64:49:31,9.0,3.0,-83.0,BP-Sec
320,54:78:1a:64:4b:b0,14.0,2.0,-87.0,BaumanPress
319,54:78:1a:64:4b:b1,14.0,2.0,-86.0,BP-Sec
359,54:78:1a:64:58:a0,14.0,2.0,-88.0,BaumanPress
358,54:78:1a:64:58:a1,14.0,2.0,-88.0,BP-Sec
2695,54:83:3a:71:49:78,1.0,2.0,-75.0,Zyxel71497a
2698,54:83:3a:71:49:79,1.0,2.0,-81.0,Zyxel71497a.speed
2094,58:ac:78:44:82:30,2.0,3.0,-64.0,bmstu_student
2096,58:ac:78:44:82:31,2.0,3.0,-65.0,bmstu_guest
2095,58:ac:78:44:82:32,2.0,3.0,-65.0,bmstu_staff
2114,58:ac:78:44:82:3d,9.0,3.0,-71.0,bmstu_staff
2113,58:ac:78:44:82:3e,9.0,3.0,-70.0,bmstu_guest
2111,58:ac:78:44:82:3f,9.0,3.0,-69.0,bmstu_student
2613,58:ac:78:44:8c:a0,15.0,3.0,-62.0,bmstu_student
2612,58:ac:78:44:8c:a1,15.0,3.0,-61.0,bmstu_guest
2611,58:ac:78:44:8c:a2,15.0,3.0,-61.0,bmstu_staff
2614,58:ac:78:44:8c:ad,15.0,3.0,-66.0,bmstu_staff
2615,58:ac:78:44:8c:ae,15.0,3.0,-66.0,bmstu_guest
2616,58:ac:78:44:8c:af,15.0,3.0,-67.0,bmstu_student
1499,58:ac:78:57:e3:90,15.0,3.0,-54.0,bmstu_student
1496,58:ac:78:57:e3:91,15.0,3.0,-49.0,bmstu_guest
1497,58:ac:78:57:e3:92,15.0,3.0,-52.0,bmstu_staff
1504,58:ac:78:57:e3:9d,15.0,3.0,-58.0,bmstu_staff
1501,58:ac:78:57:e3:9e,15.0,3.0,-57.0,bmstu_guest
1502,58:ac:78:57:e3:9f,15.0,3.0,-57.0,bmstu_student
3373,58:ac:78:77:8e:80,11.0,1.0,-62.0,bmstu_student
3371,58:ac:78:77:8e:81,11.0,1.0,-61.0,bmstu_guest
574,58:ac:78:77:8e:82,11.0,2.0,-61.0,bmstu_staff
3370,58:ac:78:77:8e:8d,11.0,1.0,-58.0,bmstu_staff
3369,58:ac:78:77:8e:8e,11.0,1.0,-58.0,bmstu_guest
3368,58:ac:78:77:8e:8f,11.0,1.0,-58.0,bmstu_student
861,58:ac:78:eb:e6:e0,4.0,2.0,-58.0,bmstu_student
2952,58:ac:78:eb:e6:e1,4.0,2.0,-52.0,bmstu_guest
2951,58:ac:78:eb:e6:e2,4.0,2.0,-51.0,bmstu_staff
2956,58:ac:78:eb:e6:ed,4.0,2.0,-61.0,bmstu_staff
2955,58:ac:78:eb:e6:ee,4.0,2.0,-60.0,bmstu_guest
2954,58:ac:78:eb:e6:ef,4.0,2.0,-60.0,bmstu_student
2731,58:ac:78:eb:e7:30,13.0,3.0,-61.0,bmstu_student
2771,58:ac:78:eb:e7:31,13.0,3.0,-59.0,bmstu_guest
2774,58:ac:78:eb:e7:32,13.0,3.0,-60.0,bmstu_staff
2775,58:ac:78:eb:e7:3d,13.0,3.0,-61.0,bmstu_staff
2773,58:ac:78:eb:e7:3e,13.0,3.0,-60.0,bmstu_guest
2772,58:ac:78:eb:e7:3f,13.0,3.0,-60.0,bmstu_student
2847,58:ac:78:eb:e7:c0,13.0,3.0,-59.0,bmstu_student
2845,58:ac:78:eb:e7:c1,13.0,3.0,-56.0,bmstu_guest
2846,58:ac:78:eb:e7:c2,13.0,3.0,-58.0,bmstu_staff
2848,58:ac:78:eb:e7:cd,13.0,3.0,-61.0,bmstu_staff
2849,58:ac:78:eb:e7:ce,13.0,3.0,-62.0,bmstu_guest
2850,58:ac:78:eb:e7:cf,13.0,3.0,-62.0,bmstu_student
664,58:d9:d5:b8:76:01,6.0,2.0,-59.0,
4449,58:d9:d5:b8:76:05,6.0,2.0,-88.0,
890,5c:96:9d:67:ca:bd,4.0,2.0,-81.0,!wifipress
779,5c:f4:ab:ce:2f:b0,6.0,2.0,-73.0,Terahertz_lab
2725,5c:f4:ab:ce:9b:80,7.0,2.0,-75.0,MT1-109
2728,5c:f4:ab:ce:9b:82,7.0,2.0,-84.0,MT1-109-5
2882,5c:f4:ab:ce:c1:d8,4.0,2.0,-62.0,Keenetic-0409
136,5c:f4:ab:ce:c1:da,4.0,2.0,-83.0,Keenetic-0409-5G
1672,5e:2e:a1:f6:bd:ff,10.0,3.0,-82.0,
2989,5e:96:9d:67:ca:be,3.0,2.0,-88.0,!wifipress_guest
2702,60:32:b1:ff:e0:d9,1.0,2.0,-89.0,TP-Link_E0DA
2696,60:32:b1:ff:e0:da,1.0,2.0,-77.0,TP-Link_E0DA
