n;id;mac;strength;ssid;zone;floor;datetime
1;3510;cc:5d:4e:fc:9b:56;-71;ZyXEL_KEENETIC_GIGA_FC9B56;5;2;Tue Apr 13 17:14:45 GMT+03:00 2021
2;3511;9e:93:4e:39:c7:f5;-71;DIRECT-XyPhaser 3020;5;2;Tue Apr 13 17:14:45 GMT+03:00 2021
3;3512;16:91:82:28:40:d8;-79;;5;2;Tue Apr 13 17:14:45 GMT+03:00 2021
4;3513;58:ac:78:eb:e6:e2;-79;bmstu_staff;5;2;Tue Apr 13 17:14:45 GMT+03:00 2021
5;3514;58:ac:78:eb:e6:e0;-81;bmstu_student;5;2;Tue Apr 13 17:14:45 GMT+03:00 2021
6;3515;58:ac:78:eb:e6:e1;-82;bmstu_guest;5;2;Tue Apr 13 17:14:45 GMT+03:00 2021
7;3516;b8:a3:86:44:ae:a7;-82;mgts for sbrf;5;2;Tue Apr 13 17:14:45 GMT+03:00 2021
8;3517;58:ac:78:eb:e6:ed;-83;bmstu_staff;5;2;Tue Apr 13 17:14:45 GMT+03:00 2021
9;3518;58:ac:78:eb:e6:ef;-84;bmstu_student;5;2;Tue Apr 13 17:14:45 GMT+03:00 2021
10;3519;58:ac:78:eb:e6:ee;-84;bmstu_guest;5;2;Tue Apr 13 17:14:45 GMT+03:00 2021
11;3520;14:91:82:28:40:d6;-85;;5;2;Tue Apr 13 17:14:45 GMT+03:00 2021
12;3521;9e:93:4e:39:c7:fa;-89;DIRECT-QnPhaser 3020;5;2;Tue Apr 13 17:14:45 GMT+03:00 2021
13;3522;cc:5d:4e:fc:9b:56;-66;ZyXEL_KEENETIC_GIGA_FC9B56;4;2;Tue Apr 13 17:15:03 GMT+03:00 2021
14;3523;16:91:82:28:40:d8;-68;;4;2;Tue Apr 13 17:15:03 GMT+03:00 2021
15;3524;14:91:82:28:40:d6;-69;;4;2;Tue Apr 13 17:15:03 GMT+03:00 2021
16;3525;9e:93:4e:39:c7:f5;-69;DIRECT-XyPhaser 3020;4;2;Tue Apr 13 17:15:03 GMT+03:00 2021
17;3526;58:ac:78:eb:e6:e2;-73;bmstu_staff;4;2;Tue Apr 13 17:15:03 GMT+03:00 2021
18;3527;58:ac:78:eb:e6:e0;-74;bmstu_student;4;2;Tue Apr 13 17:15:03 GMT+03:00 2021
19;3528;58:ac:78:eb:e6:e1;-76;bmstu_guest;4;2;Tue Apr 13 17:15:03 GMT+03:00 2021
20;3529;b8:a3:86:44:ae:a7;-77;mgts for sbrf;4;2;Tue Apr 13 17:15:03 GMT+03:00 2021
21;3530;58:ac:78:eb:e6:ed;-78;bmstu_staff;4;2;Tue Apr 13 17:15:03 GMT+03:00 2021
22;3531;58:ac:78:eb:e6:ef;-79;bmstu_student;4;2;Tue Apr 13 17:15:03 GMT+03:00 2021
23;3532;40:49:0f:60:fb:f2;-79;HP-Print-F2-LaserJet Pro MFP;4;2;Tue Apr 13 17:15:03 GMT+03:00 2021
24;3533;58:ac:78:eb:e6:ee;-80;bmstu_guest;4;2;Tue Apr 13 17:15:03 GMT+03:00 2021
25;3534;9e:93:4e:39:c7:fa;-80;DIRECT-QnPhaser 3020;4;2;Tue Apr 13 17:15:03 GMT+03:00 2021
26;3535;38:6b:1c:1d:f7:f3;-85;;4;2;Tue Apr 13 17:15:03 GMT+03:00 2021
27;3536;50:ff:20:39:ce:ed;-85;Keenetic-2054;4;2;Tue Apr 13 17:15:03 GMT+03:00 2021
28;3537;14:91:82:28:40:d7;-87;;4;2;Tue Apr 13 17:15:03 GMT+03:00 2021
29;3538;52:ff:20:49:ce:ed;-87;;4;2;Tue Apr 13 17:15:03 GMT+03:00 2021
30;3539;7c:a7:b0:12:33:51;-88;HDC-E5100W-0hqIpJ;4;2;Tue Apr 13 17:15:03 GMT+03:00 2021
31;3540;00:a6:ca:5e:67:00;-89;;4;2;Tue Apr 13 17:15:03 GMT+03:00 2021
32;3541;3c:9d:56:fd:59:2b;-89;hw_manage_5920;4;2;Tue Apr 13 17:15:03 GMT+03:00 2021
33;3542;14:91:82:28:40:d6;-69;;4;2;Tue Apr 13 17:15:13 GMT+03:00 2021
34;3543;cc:5d:4e:fc:9b:56;-70;ZyXEL_KEENETIC_GIGA_FC9B56;4;2;Tue Apr 13 17:15:13 GMT+03:00 2021
35;3544;7c:a7:b0:12:33:51;-72;HDC-E5100W-0hqIpJ;4;2;Tue Apr 13 17:15:13 GMT+03:00 2021
36;3545;98:de:d0:88:8a:2e;-72;;4;2;Tue Apr 13 17:15:13 GMT+03:00 2021
37;3546;58:ac:78:eb:e6:e2;-73;bmstu_staff;4;2;Tue Apr 13 17:15:13 GMT+03:00 2021
38;3547;58:ac:78:eb:e6:e0;-74;bmstu_student;4;2;Tue Apr 13 17:15:13 GMT+03:00 2021
39;3548;58:ac:78:eb:e6:e1;-76;bmstu_guest;4;2;Tue Apr 13 17:15:13 GMT+03:00 2021
40;3549;b8:a3:86:44:ae:a7;-77;mgts for sbrf;4;2;Tue Apr 13 17:15:13 GMT+03:00 2021
41;3550;52:ff:20:49:ce:ed;-77;;4;2;Tue Apr 13 17:15:13 GMT+03:00 2021
42;3551;40:49:0f:60:fb:f2;-78;HP-Print-F2-LaserJet Pro MFP;4;2;Tue Apr 13 17:15:13 GMT+03:00 2021
43;3552;58:ac:78:eb:e6:ef;-79;bmstu_student;4;2;Tue Apr 13 17:15:13 GMT+03:00 2021
44;3553;58:ac:78:eb:e6:ee;-80;bmstu_guest;4;2;Tue Apr 13 17:15:13 GMT+03:00 2021
45;3554;50:ff:20:39:ce:ed;-81;Keenetic-2054;4;2;Tue Apr 13 17:15:13 GMT+03:00 2021
46;3555;00:a6:ca:5e:67:00;-82;;4;2;Tue Apr 13 17:15:13 GMT+03:00 2021
47;3556;16:91:82:28:40:d8;-84;;4;2;Tue Apr 13 17:15:13 GMT+03:00 2021
48;3557;9e:93:4e:39:c7:fa;-85;DIRECT-QnPhaser 3020;4;2;Tue Apr 13 17:15:13 GMT+03:00 2021
49;3558;3c:9d:56:fd:59:eb;-86;hw_manage_59e0;4;2;Tue Apr 13 17:15:13 GMT+03:00 2021
50;3559;3c:9d:56:fd:59:2b;-89;hw_manage_5920;4;2;Tue Apr 13 17:15:13 GMT+03:00 2021
51;3560;9e:93:4e:39:c7:f5;-90;DIRECT-XyPhaser 3020;4;2;Tue Apr 13 17:15:13 GMT+03:00 2021
52;3561;30:b5:c2:bf:e2:82;-91;my_wifi;4;2;Tue Apr 13 17:15:13 GMT+03:00 2021
53;3562;2a:56:5a:49:09:25;-92;DIRECT-25-HP M130 LaserJet;4;2;Tue Apr 13 17:15:13 GMT+03:00 2021
54;3563;cc:5d:4e:fc:9b:56;-70;ZyXEL_KEENETIC_GIGA_FC9B56;4;2;Tue Apr 13 17:15:25 GMT+03:00 2021
55;3564;7c:a7:b0:12:33:51;-72;HDC-E5100W-0hqIpJ;4;2;Tue Apr 13 17:15:25 GMT+03:00 2021
56;3565;98:de:d0:88:8a:2e;-72;;4;2;Tue Apr 13 17:15:25 GMT+03:00 2021
57;3566;52:ff:20:49:ce:ed;-75;;4;2;Tue Apr 13 17:15:25 GMT+03:00 2021
58;3567;16:2c:0a:10:d6:57;-77;Durachok_Production;4;2;Tue Apr 13 17:15:25 GMT+03:00 2021
