zone from;zone to;floor;ladder
3;;1;1
12;;1;1
1;3;2;
1;4;2;
2;8;2;
2;9;2;
3;1;2;1
3;4;2;1
4;1;2;
4;3;2;
4;5;2;
4;6;2;
5;4;2;
5;6;2;
5;11;2;
5;12;2;
6;4;2;
6;5;2;
6;7;2;
6;8;2;
7;6;2;
7;8;2;
7;12;2;
8;2;2;
8;6;2;
8;7;2;
8;9;2;
9;2;2;
9;8;2;
10;15;2;1
11;5;2;
11;12;2;
11;15;2;
12;5;2;1
12;7;2;1
12;11;2;1
15;10;2;1
15;11;2;1
3;;3;1
7;8;3;
8;7;3;1
10;15;3;1
11;12;3;
11;15;3;
12;11;3;1
12;13;3;1
13;12;3;
13;16;3;
14;16;3;1
15;10;3;1
15;11;3;1
16;13;3;1
16;14;3;1
3;;4;1
10;15;4;1
11;12;4;
11;15;4;
12;11;4;1
12;13;4;1
13;12;4;
13;16;4;
14;16;4;1
15;10;4;1
15;11;4;1
16;13;4;1
16;14;4;1
3;;5;1
10;15;5;1
11;12;5;
11;15;5;
12;11;5;1
12;13;5;1
13;12;5;
14;;5;1
15;10;5;1
15;11;5;1
12;;6;1
12;;7;1
12;;8;1
12;;9;1
12;;10;1
